num_p,num_scripts,num_a,num_events,is_react,is_vue,is_angular,html_length,score
18, 16, 294, 0, 0, 0, 0, 407226, 0
15, 16, 283, 0, 0, 0, 0, 399082, 0
16, 16, 294, 0, 0, 0, 0, 405448, 0
19, 16, 295, 0, 0, 0, 0, 408848, 0
13, 16, 292, 0, 0, 0, 0, 404230, 0
14, 16, 293, 0, 0, 0, 0, 404393, 0
0, 12, 294, 0, 0, 0, 0, 385942, 0
30, 16, 295, 0, 0, 0, 0, 408584, 0
17, 16, 291, 0, 0, 0, 0, 401926, 0
12, 16, 289, 0, 0, 0, 0, 401122, 0
26, 16, 294, 0, 0, 0, 0, 411370, 0
0, 12, 294, 0, 0, 0, 0, 385843, 0
26, 16, 297, 0, 0, 0, 0, 415287, 0
38, 15, 233, 1, 0, 0, 0, 468910, 0
28, 16, 292, 0, 0, 0, 0, 409621, 0
15, 16, 295, 0, 0, 0, 0, 406513, 0
0, 12, 294, 0, 0, 0, 0, 385382, 0
13, 16, 290, 0, 0, 0, 0, 402884, 0
32, 16, 294, 0, 0, 0, 0, 407399, 0
17, 16, 294, 0, 0, 0, 0, 407003, 0
25, 15, 233, 1, 0, 0, 0, 510153, 0
35, 15, 234, 1, 0, 0, 0, 475681, 0
39, 15, 236, 1, 0, 0, 0, 472961, 0
33, 16, 292, 0, 0, 0, 0, 412797, 0
17, 16, 292, 0, 0, 0, 0, 408472, 0
30, 16, 284, 0, 0, 0, 0, 404921, 0
27, 16, 287, 0, 0, 0, 0, 406920, 0
32, 16, 286, 0, 0, 0, 0, 410356, 0
17, 16, 299, 0, 0, 0, 0, 409286, 0
21, 14, 238, 1, 0, 0, 0, 473100, 0
29, 15, 240, 1, 0, 0, 0, 471016, 0
19, 16, 292, 0, 0, 0, 0, 403424, 0
13, 16, 296, 0, 0, 0, 0, 404520, 0
14, 16, 298, 0, 0, 0, 0, 407011, 0
20, 16, 290, 0, 0, 0, 0, 403918, 0
18, 16, 296, 0, 0, 0, 0, 410058, 0
